parameter,S1_median,S1_lo95,S1_hi95,ST_median,ST_lo95,ST_hi95
MS,0.00042043759761652946,-0.0016973958737864028,0.002538271069019462,0.09692211347065079,-0.05839046714259895,0.25223469408390053
GS,0.02345216277916415,-0.008557010408239724,0.05546133596656802,1.000745268561456,0.08580498654542412,1.915685550577488
S,0.13509836547175558,-0.12988767863884,0.40008440958235114,1.5502116383631366,-0.8203090460441365,3.9207323227704096
CFB,0.0006891299125253027,-0.00040813885024798514,0.0017863986752985907,0.03982331919753647,-0.03999124423180089,0.11963788262687383
CFF,0.00549443034686661,-0.0030561168667112767,0.014044977560444497,0.12187601593948079,0.030815798247762233,0.21293623363119935
