parameter,S1_median,S1_lo95,S1_hi95,ST_median,ST_lo95,ST_hi95
GS,0.20282629239161645,0.0501851255296962,0.35546745925353673,0.8445139600654736,0.6324697111242195,1.0565582090067278
MS,0.0015307088442507982,-0.0007298144572444867,0.003791232145746083,0.003880103957675311,0.00024033672548097853,0.0075198711898696435
cF,0.0037244659276556313,-0.00024081617422573543,0.007689748029536998,0.07601854360211759,0.03483838596297006,0.11719870124126511
GF,0.07846749317203022,0.01660223404534107,0.1403327522987194,0.7759086850981245,0.5703669135015591,0.9814504566946899
rB,5.605425284441736e-05,-0.0010817425817366744,0.001193851087425509,0.0015813238602592667,-4.10557115652797e-05,0.003203703432083813
