parameter,S1_median,S1_lo95,S1_hi95,ST_median,ST_lo95,ST_hi95
cB,0.04294703855341468,0.030596030856862556,0.05529804624996681,0.09182238318038526,0.07108368445438987,0.11256108190638064
MGP,0.5328029806244327,0.4614768298570705,0.6041291313917948,0.9155969430839811,0.5921347933750581,1.2390590927929042
MGN,0.06355956722333313,0.03084065596592888,0.09627847848073737,0.305525716663351,0.2512005337566627,0.3598508995700393
fGP,0.06753244759935194,0.047800402953895905,0.08726449224480798,0.17767110659255828,0.14631252681454815,0.2090296863705684
