rB,parameter,S1_median,S1_lo95,S1_hi95,ST_median,ST_lo95,ST_hi95
4.0,MS,-0.00013445344439724563,-0.001637971677992144,0.0013690647891976527,0.01410168079921487,-0.02064615794891361,0.048849519547343345
4.0,GS,0.01635380139832984,-0.0023923736384332817,0.03509997643509296,2.141244281102703,0.043874464677339464,4.238614097528066
4.0,S,0.13191234458210638,-0.20110985333710896,0.4649345425013217,0.9064851682642793,0.23333860803530493,1.5796317284932537
4.0,CFB,0.0005562317256294539,-0.001211722830088035,0.0023241862813469425,0.04083696387835038,-0.10494664860070661,0.18662057635740736
4.0,CFF,-0.004512228587298324,-0.01582439294616308,0.006799935771566435,0.5898486180342933,0.15911958061373271,1.020577655454854
