cB,MGP,MGN,fGP,CFB
300.2131896093488,15.692964777181109,4.234794413692671,0.27939253095537425,40.37228066993117
336.946343164891,21.4,1.0329418787089804,0.1157500645145774,99.38159060889052
508.5385236889124,21.241763060336293,0.79,0.7349522426724434,32.143120011740976
692.4743409268558,18.288151958785154,4.705887310004902,0.5567098021507263,56.448949144621324
575.2216224558651,2.1664005709806573,0.39225675808619365,0.37201101519167423,546.6546534444096
319.144643843174,17.86155649265511,3.2,0.22976937610656023,48.58509567281673
384.67258820310235,33.88,15.220312249009343,0.24059592150151732,19.51686100666775
646.0450797341764,6.257008251894915,1.67719933484872,0.8659359553828836,114.48568627271887
547.6245435886085,32.55,2.779219566184211,0.38721076026558876,38.277258084383234
310.03661854192615,11.140108606563683,10.461378249038955,0.297462435811758,29.075177892378722
418.4783267788589,15.67,0.79,0.6129051085561514,42.22776425375571
645.1087417080998,6.403388126450995,5.44,0.2114853885024786,114.30513357288078
450.9558767080307,9.6,0,0.798069391399622,58.86025826405616
633.7618841789663,2.8809556273432597,3.7,0.5899009879678488,197.013502624526
421.76993023604155,3.3124763554800247,0.590073203714606,0.7940738208591939,153.2670925648699
445.33591056242585,1.73397340377153,5.806559290153279,0.40883837714791305,107.52932439631331
647.8534770198166,11.68,6.918840864663721,0.6734155558049679,63.98502625640552
474.83704183250666,25.7,0.2,0.28271046970039604,64.08820960493098
334.54095385968685,29.21,0,0.6025709990411997,19.006822023023474
574.043560307473,11.5,6.489870067435692,0.8188323263078928,54.19428535383128
682.5262661091983,25.7,4.609058916878371,0.20055123623460533,77.21869618191027
543.3922447264194,28.04,3.8806336185810784,0.5978434445336461,29.654427220553533
686.6529990918934,28.04,11.018247837936539,0.8130177926272154,27.62386859854365
683.4218945354223,9.258680362376676,6.0760287064369205,0.894628568738699,76.58830005937271
648.1060509569943,12.609901283905424,4.061874441116466,0.37339864727109673,89.34838762587522
594.7631640359759,42.35406281339218,5.800458461835268,0.12612306401133538,57.129927203010546
404.12414809688926,33.88,1.4,0.6773523304611444,17.269964800276135
535.7060130685568,31.903408170427397,3.373171390288411,0.5067142531275749,30.045459875253798
494.77522606030107,19.740729473676364,7.068980452935323,0.6989926351234317,31.066279445446423
674.3127882480621,15.723851123797349,3.4,0.3637682557106018,85.539842574604
486.38460021466017,30.7,7.2,0.24807111117988825,37.32900055624275
383.2620572298765,8.235870280147962,3.3058818833776775,0.4447618393227458,69.7023536498526
460.64384412020445,1.6898954789319303,0.9117968781183812,0.8351326934993267,294.97961650814074
375.1240720041096,28.193808629814633,10.858344768554451,0.47581664808094504,19.632965633368627
324.3084903806448,48.3305241804953,2.6,0.8569931320846081,7.76029451549446
355.3684327751398,2.333813020596067,1.84585628797522,0.2495049424469471,180.60974160949183
