"","ID","Reference","Data.source","Longitude","Latitude","Elevation","MAT","MAP","PET","Climate","Ecosystem.type","Methods","Site","MurA","GlcN","SOC","TN","TP","C.N","MBC","MBN","MBC.N","pH","Sand","Silt","Clay"
"128",128,18,"A1",-0.92,44.2,80,12.7,900,1041,"C","Cropland","GC","‘Landes de Gascogne’, southwest France",9.8,292.6,22.6,0.9,0.8,25,652.56,64.58,10.11,5.6,90,4.9,5.1
"129",129,18,"A1",-0.92,44.2,80,12.7,900,1041,"C","Cropland","GC","‘Landes de Gascogne’, southwest France",9.3,268.3,20,0.71,0.8,28.01,652.56,64.58,10.11,5.6,75.5,19.9,4.6
"130",130,18,"A1",-0.92,44.2,80,12.7,900,1041,"C","Cropland","GC","‘Landes de Gascogne’, southwest France",13.5,291.2,18,1,0.8,18,652.56,64.58,10.11,6,82.3,10.8,6.9
"131",131,18,"A1",-0.78,44.48,44,12.7,900,1039,"C","Forest","GC","‘Landes de Gascogne’, southwest France",14.4,677.2,33.5,1.16,0.8,29,652.56,64.58,10.11,4.3,87.8,5.3,6.9
"132",132,18,"A1",-0.78,44.48,44,12.7,900,1039,"C","Forest","GC","‘Landes de Gascogne’, southwest France",14.8,486.3,29.6,1.18,0.8,25,652.56,64.58,10.11,4.5,88.5,5.8,5.7
"133",133,18,"A1",-0.78,44.48,44,12.7,900,1039,"C","Forest","GC","‘Landes de Gascogne’, southwest France",9.6,310.6,21.7,0.7,0.8,31,652.56,64.58,10.11,4.5,88.2,6.1,5.7
"134",134,19,"A1",116.14,28.22,138,17,1614,1298,"C","Cropland","LC","Red Soil Research Station, Jiangxi, Chi",NA,NA,7.68,1.07,0.7,7.18,198.08,62.27,3.18,5.5,31,23,44
"135",135,19,"A1",124.49,43.3,65,5.6,595,1195,"D","Cropland","LC","Gongzhuling, Jilin, Chi",NA,NA,12.51,1.52,0.9,8.23,212.67,80.03,2.66,6.1,50,29,21
"136",136,20,"A1",9.98,50.38,686,6.71,690,822,"D","Grassland","LC","Heringen in North Hessia, Germany",47,883,16.8,1.4,0.6,12,386,64,6.03,4.67,73,19,8
"137",137,20,"A1",9.98,50.38,686,6.71,690,822,"D","Grassland","LC","Heringen in North Hessia, Germany",75,1035,36.2,2.7,0.6,13.41,87,12,7.25,5.35,76,11,13
"138",138,21,"A1",11.1,51.35,134,8.67,586,844,"D","Cropland","LC","Hasenloch at Frankenhausen, Germany",48,650,12.5,1.2,0.5,10.42,164.55,86.16,1.91,7.4,3,80,17
"139",139,22,"A1",0.19,11.59,268,28.3,850,2456,"A","Cropland","LC","Burki Faso, Fada-Kouare",26,383,5.2,0.63,0.5,8.24,64,6.8,9.41,6.4,34,55,15
"140",140,22,"A1",0.19,11.59,268,28.3,850,2456,"A","Cropland","LC","Burki Faso, Fada-Kouare",31,404,5.2,0.63,0.5,8.24,112,10.6,10.57,6.4,34,55,15
"141",141,22,"A1",0.23,10.17,178,27.8,1100,2149,"A","Cropland","LC","Plinthic Kanhaplustult, Koukombo",13,248,3.67,0.51,0.5,7.23,47,4.5,10.44,6.2,35,54,5
"142",142,22,"A1",0.23,10.17,178,27.8,1100,2149,"A","Cropland","LC","Plinthic Kanhaplustult, Koukombo",16,290,3.67,0.51,0.5,7.23,45,4.4,10.23,6.2,35,54,5
"143",143,23,"A1",123.4,41.52,31,8.16,677,1190,"D","Cropland","GC","Shenyang Experimental Ecology Station, Shenyang, Chi",15,495,10.02,1.21,0.9,8.28,285,52.32,5.45,6,48,34,19
"144",144,23,"A1",124.67,43.6,206,5.49,573,1183,"D","Cropland","GC","Gongzhuling, Jiling, Chi",35.3,572.23,12.51,1.52,0.7,8.23,299.33,72.27,4.14,6.1,52,22,26
"145",145,24,"A1",123.24,41.31,55,7.5,625,1213,"D","Cropland","GC","Shenyang, Chi",37,690,11.37,1.21,0.9,9.4,189.37,76.81,2.47,7,48,34,19
"146",146,25,"A1",-90.08,46.47,492,4.25,878,916,"D","Forest","GC","Sylvania Wilderness Recreatiol Area, Ottawa tiol Forest, MI",96.07,579.19,31.03,2.31,0.7,13.43,189.01,102.05,1.85,4.36,25,69,4
"147",147,25,"A1",-90.08,46.47,492,4.25,878,916,"D","Forest","GC","Sylvania Wilderness Recreatiol Area, Ottawa tiol Forest, MI",61,540.36,27.96,1.89,0.7,14.79,189.01,102.05,1.85,4.74,25,69,4
"148",148,25,"A1",-90.08,46.47,492,4.25,878,916,"D","Forest","GC","Sylvania Wilderness Recreatiol Area, Ottawa tiol Forest, MI",39.81,494.01,29.14,1.75,0.7,16.65,189.01,102.05,1.85,3.73,25,69,4
"149",149,26,"A1",-89.41,45.64,469,4.7,793,911,"D","Forest","GC","Rhinelander (WI) USA",36.4,567.39,9.78,1.35,0.5,7.25,369.33,71.32,5.18,7.4,31,42,27
"150",150,26,"A1",-88.23,40.01,212,10.8,954,1217,"D","Cropland","GC","Urba-Champaign (IL) USA",109.2,1936.96,24.43,2.19,0.6,11.16,254.2,68.95,3.69,6.8,66,9,25
"151",151,26,"A1",8.95,47.01,2094,10,1108,771,"E","Grassland","GC","Eschikon Switzerland",118.3,1839.13,24.64,2.2,0.7,11.21,141.11,56.97,2.48,4.4,18,77,5
"152",152,27,"A1",9.98,51.28,219,8.3,550,810,"D","Cropland","LC","N Hessia, Germany",27.2,317,14.4,1.23,0.6,11.71,319.52,58.15,5.49,7.8,44.3,41.6,14.1
"153",153,27,"A1",9.87,51.32,276,8.5,630,805,"D","Cropland","LC","N Hessia, Germany",24.2,316,10.6,1.12,0.6,9.46,319.52,58.15,5.49,7.9,36.7,45.8,17.5
"154",154,28,"A1",128.1,42.4,600,2.6,708,921,"D","Forest","GC","Changbai Mountain",203.2,3869.6,58.67,5.61,0.7,10.46,243.31,47.02,5.17,4.08,31.94,43.7,24.36
"155",155,28,"A1",128.1,42.4,600,2.6,708,921,"D","Forest","GC","Changbai Mountain",NA,351.9,6.76,1.05,0.7,6.44,243.31,47.02,5.17,3.75,38.81,45.73,15.46
"156",156,28,"A1",128.1,42.4,600,2.6,708,921,"D","Forest","GC","Changbai Mountain",31.1,501.1,2.33,0.74,0.7,3.15,243.31,47.02,5.17,3.35,25.78,48.56,25.66
"157",157,28,"A1",128.1,42.4,600,2.6,708,921,"D","Forest","GC","Changbai Mountain",25.9,364.2,1.83,0.71,0.7,2.58,243.31,47.02,5.17,3.32,27.84,47.08,25.08
"158",158,28,"A1",128.07,42.08,1680,-2.9,1031,792,"D","Forest","GC","Changbai Mountain",185.8,2743.6,46.38,3.94,0.5,11.77,243.31,47.02,5.17,3.79,62.31,23.44,14.25
"159",159,28,"A1",128.07,42.08,1680,-2.9,1031,792,"D","Forest","GC","Changbai Mountain",NA,207.7,4.31,0.66,0.5,6.53,243.31,47.02,5.17,4.42,78.38,15.92,5.7
"160",160,28,"A1",128.07,42.08,1680,-2.9,1031,792,"D","Forest","GC","Changbai Mountain",NA,62.5,3.42,0.59,0.5,5.8,243.31,47.02,5.17,4.56,83.17,13.98,2.85
"161",161,28,"A1",128.1,42.02,2580,-7.7,1321,676,"D","Forest","GC","Changbai Mountain",NA,1684.2,94.28,4.92,0.5,19.16,243.31,47.02,5.17,3.65,38,41,20
"162",162,28,"A1",128.1,42.02,2580,-7.7,1321,676,"D","Forest","GC","Changbai Mountain",NA,405,26.08,1.81,0.5,14.41,243.31,47.02,5.17,4.52,38,41,20
"163",163,28,"A1",128.1,42.02,2580,-7.7,1321,676,"D","Forest","GC","Changbai Mountain",NA,368.4,18.05,1.59,0.5,11.35,243.31,47.02,5.17,4.7,38,41,20
"164",164,29,"A1",4.77,51.25,14,10.33,790,851,"C","Grassland","LC","Wechelderzande, Belgium",26,885,21,2,0.7,10.5,360.91,73.3,4.92,5.1,93,4.5,2.5
"165",165,30,"A1",160.55,6.08,4095,23.9,2509,1423,"A","Forest","GC","Mt. Kibalu, Sabah, Malaysia",53.4,524,28.9,1.89,0.6,15.29,838.69,32.48,25.83,3.7,33,33,32
"166",166,30,"A1",160.55,6.08,4095,23.9,2509,1423,"A","Forest","GC","Mt. Kibalu, Sabah, Malaysia",66.5,487,15.1,1.22,0.6,12.38,838.69,32.48,25.83,3.89,33,33,32
"167",167,30,"A1",160.55,6.08,44,23.9,2509,1423,"A","Forest","GC","Mt. Kibalu, Sabah, Malaysia",63.1,254,11.6,1.05,0.6,11.05,838.69,32.48,25.83,3.94,33,33,32
"168",168,30,"A1",160.55,6.08,44,23.9,2509,1423,"A","Forest","GC","Mt. Kibalu, Sabah, Malaysia",53.2,277,8.04,0.82,0.6,9.8,838.69,32.48,25.83,3.97,33,33,32
"169",169,30,"A1",160.55,6.08,44,23.9,2509,1423,"A","Forest","GC","Mt. Kibalu, Sabah, Malaysia",42.4,260,5.72,0.73,0.6,7.86,838.69,32.48,25.83,4.05,33,33,32
"170",170,30,"A1",160.55,6.08,44,23.9,2509,1423,"A","Forest","GC","Mt. Kibalu, Sabah, Malaysia",37,208,4.9,0.71,0.6,6.95,838.69,32.48,25.83,4.12,33,33,32
"171",171,30,"A1",160.55,6.08,44,23.9,2509,1423,"A","Forest","GC","Mt. Kibalu, Sabah, Malaysia",19.3,204,3.97,0.59,0.6,6.76,838.69,32.48,25.83,4.13,33,33,32
"172",172,30,"A1",160.55,6.08,44,23.7,2509,1423,"A","Forest","GC","Mt. Kibalu, Sabah, Malaysia",101.6,618,32.7,1.77,0.6,18.47,838.69,32.48,25.83,4.05,33,33,32
"173",173,30,"A1",160.55,6.08,44,23.7,2509,1423,"A","Forest","GC","Mt. Kibalu, Sabah, Malaysia",47.1,357,19.6,1.27,0.6,15.43,838.69,32.48,25.83,4.76,33,33,32
