"","ID","Reference","Data.source","Longitude","Latitude","Elevation","MAT","MAP","PET","Climate","Ecosystem.type","Methods","Site","MurA","GlcN","SOC","TN","TP","C.N","MBC","MBN","MBC.N","pH","Sand","Silt","Clay"
"399",399,51,"A1",126.63,47.43,197,1.5,550,1046,"D","Cropland","GC","Hailun Agro-ecology System, Heilongjiang province, Chi",70.41,1275.29,30.2,2.61,0.9,11.57,408,85.8,4.76,6.13,53,22,41
"400",400,52,"A1",-122.23,37.41,144,17.5,260,1484,"C","Grassland","GC","Jasper Ridge, CA, USA",20,430,9.25,1.08,0.6,8.6,367.79,41.71,8.82,5.3,34,52,14
"401",401,53,"A1",126.63,47.43,197,1.5,550,1046,"D","Grassland","GC","Hailun Agro-ecology System, Heilongjiang province, Chi",35.45,481.25,11.09,1.07,0.9,10.36,162.8,85.8,1.9,6.32,22.4,35.6,42
"402",402,53,"A1",126.63,47.43,197,1.5,550,1046,"D","Cropland","GC","Hailun Agro-ecology System, Heilongjiang province, Chi",17.8,368.19,9.09,0.79,0.9,11.51,137.1,85.8,1.6,5.44,22.4,35.6,42
"403",403,53,"A1",126.63,47.43,197,1.5,550,1046,"D","Cropland","GC","Hailun Agro-ecology System, Heilongjiang province, Chi",108.56,1102.24,29.42,2.14,0.9,13.75,265.7,85.8,3.1,5.44,22.4,35.6,42
"404",404,53,"A1",126.63,47.43,197,1.5,550,1046,"D","Cropland","GC","Hailun Agro-ecology System, Heilongjiang province, Chi",22.15,247.42,6.99,0.51,0.9,13.71,128.5,85.8,1.5,6.54,22.4,35.6,42
"405",405,53,"A1",126.63,47.43,197,1.5,550,1046,"D","Cropland","GC","Hailun Agro-ecology System, Heilongjiang province, Chi",22.15,276.04,7.87,0.67,0.9,11.75,131.4,85.8,1.53,5.96,22.4,35.6,42
"406",406,53,"A1",126.63,47.43,197,1.5,550,1046,"D","Cropland","GC","Hailun Agro-ecology System, Heilongjiang province, Chi",31.02,568.65,10.79,0.89,0.9,12.12,184,85.8,2.14,5.71,22.4,35.6,42
"407",407,53,"A1",126.63,47.43,197,1.5,550,1046,"D","Cropland","GC","Hailun Agro-ecology System, Heilongjiang province, Chi",33.23,565.49,12.28,1.14,0.9,10.77,166.2,85.8,1.94,5.6,22.4,35.6,42
"408",408,54,"A1",9.25,51.24,132,9.3,687,776,"C","Cropland","LC","Frankenhausen, Germany",39,560,12.79,1.18,0.6,10.84,230.69,74.01,3.12,7.7,2,79,19
"409",409,54,"A1",9.25,51.24,132,9.3,687,776,"C","Cropland","LC","Frankenhausen, Germany",44,625,7.95,0.71,0.6,11.2,230.69,74.01,3.12,7.9,2,77,21
"410",410,54,"A1",9.25,51.24,132,9.3,687,776,"C","Cropland","LC","Frankenhausen, Germany",41,583,8.27,0.74,0.6,11.18,230.69,74.01,3.12,7.9,1,76,23
"411",411,54,"A1",9.25,51.24,132,9.3,687,776,"C","Cropland","LC","Frankenhausen, Germany",34,494,10.11,0.71,0.6,14.24,230.69,74.01,3.12,7.9,1,69,30
"412",412,54,"A1",9.25,51.24,132,9.3,687,776,"C","Cropland","LC","Frankenhausen, Germany",29,417,11.52,1.09,0.6,10.57,230.69,74.01,3.12,7.4,2,78,20
"413",413,54,"A1",9.25,51.24,132,9.3,687,776,"C","Cropland","LC","Frankenhausen, Germany",24,338,4.24,0.37,0.6,11.46,230.69,74.01,3.12,7.4,2,70,29
"414",414,54,"A1",9.25,51.24,132,9.3,687,776,"C","Cropland","LC","Frankenhausen, Germany",20,287,3.69,0.32,0.6,11.53,230.69,74.01,3.12,7.6,2,70,28
"415",415,54,"A1",9.25,51.24,132,9.3,687,776,"C","Cropland","LC","Frankenhausen, Germany",15,217,2.84,0.25,0.6,11.36,230.69,74.01,3.12,7.6,1,73,25
"416",416,55,"A1",89.38,43.3,1521,6.8,869,1524,"B","Grassland","GC","Wisconsin's Agricultural Research Station near Arlington, Wisconsin",NA,NA,25.7,2.5,0.6,10.28,427.65,38.07,11.23,6.8,49,36,27.4
"417",417,55,"A1",89.38,43.3,1521,6.8,869,1524,"B","Grassland","GC","Wisconsin's Agricultural Research Station near Arlington, Wisconsin",NA,NA,21.75,2.15,0.6,10.12,427.65,38.07,11.23,6.75,49,36,28.2
"418",418,55,"A1",89.38,43.3,1521,6.8,869,1524,"B","Grassland","GC","Wisconsin's Agricultural Research Station near Arlington, Wisconsin",NA,NA,17.8,1.8,0.6,9.89,427.65,38.07,11.23,6.7,49,36,29
"419",419,55,"A1",89.38,43.3,1521,6.8,869,1524,"B","Grassland","GC","Wisconsin's Agricultural Research Station near Arlington, Wisconsin",NA,NA,7,0.6,0.6,11.67,427.65,38.07,11.23,6.73,49,36,32.25
"420",420,55,"A1",89.38,43.3,1521,6.8,869,1524,"B","Grassland","GC","Wisconsin's Agricultural Research Station near Arlington, Wisconsin",NA,NA,3.3,0.3,0.6,11,427.65,38.07,11.23,6.5,49,36,32.86
"421",421,55,"A1",89.38,43.3,1521,6.8,869,1524,"B","Grassland","GC","Wisconsin's Agricultural Research Station near Arlington, Wisconsin",NA,NA,25.5,2.5,0.6,10.2,427.65,38.07,11.23,6.77,49,36,27.19
"422",422,55,"A1",89.38,43.3,1521,6.8,869,1524,"B","Grassland","GC","Wisconsin's Agricultural Research Station near Arlington, Wisconsin",NA,NA,22.5,2.15,0.6,10.47,427.65,38.07,11.23,6.77,49,36,28
"423",423,55,"A1",89.38,43.3,1521,6.8,869,1524,"B","Grassland","GC","Wisconsin's Agricultural Research Station near Arlington, Wisconsin",NA,NA,19.5,1.8,0.6,10.83,427.65,38.07,11.23,6.77,49,36,28.81
"424",424,55,"A1",89.38,43.3,1521,6.8,869,1524,"B","Grassland","GC","Wisconsin's Agricultural Research Station near Arlington, Wisconsin",NA,NA,8.3,0.8,0.6,10.38,427.65,38.07,11.23,6.77,49,36,31.27
"425",425,55,"A1",89.38,43.3,1521,6.8,869,1524,"B","Grassland","GC","Wisconsin's Agricultural Research Station near Arlington, Wisconsin",NA,NA,4.3,0.3,0.6,14.33,427.65,38.07,11.23,6.43,49,36,29.58
"426",426,56,"A1",-85.4,42.41,270,8.94,901,1084,"D","Cropland","LC","Kellogg Biological Research Station, Michigan",NA,NA,12.1,0.9,0.4,13.44,280.64,53.74,5.22,6.2,28,63,9
"427",427,56,"A1",-89.35,43.3,323,7.35,849,1066,"D","Cropland","LC","Arlington Agricultural Research Station, Wisconsin",NA,NA,23,2.3,0.5,10,150.11,90.12,1.67,6.7,58,21,20
"428",428,57,"A1",9.56,51.32,470,9.2,650,823,"D","Cropland","LC","Göttingen, Germany",58.7,1023,20,2.41,0.6,8.3,717,125.8,5.7,7.69,42.5,51.4,6
"429",429,57,"A1",9.56,51.32,470,9.2,650,823,"D","Cropland","LC","Göttingen, Germany",43.3,445,10.8,1.14,0.6,9.47,229,53.9,4.25,6.56,18.1,76.3,5.6
"430",430,57,"A1",9.51,51.2,278,9.2,810,809,"D","Cropland","LC","Witzenhausen, Germany",39.6,425,9.8,1,0.6,9.8,225,41.4,5.43,6.49,17.4,76.7,5.9
"431",431,57,"A1",11.44,50.51,600,9.2,810,752,"D","Cropland","LC","Dohrstadt, Germany",49.7,614,10.3,1.2,0.6,8.58,235,41.2,5.7,7.2,10.3,70.6,19.1
"432",432,57,"A1",11.44,50.51,600,9.2,810,752,"D","Cropland","LC","Dohrstadt, Germany",48.2,739,15.6,1.81,0.6,8.62,261,48.1,5.43,7.59,13.8,66.3,20
"433",433,57,"A1",11.44,50.51,600,9.2,810,752,"D","Cropland","LC","Dohrstadt, Germany",61.9,896,28.2,2.91,0.6,9.69,311,47.9,6.49,7.69,21.2,68,10.8
"434",434,57,"A1",-5.34,42.36,823,11.1,515,1327,"C","Cropland","LC","Leon, Nicaragua",59.4,616,12.1,0.61,0.6,19.84,206,26.3,7.83,6.52,4,20,76.1
"435",435,57,"A1",-5.34,42.36,823,11.1,515,1327,"C","Cropland","LC","Leon, Nicaragua",81.2,853,18.2,1.55,0.6,11.74,179,70.83,2.53,6.27,2.5,21.5,76
"436",436,57,"A1",-5.34,42.36,823,11.1,515,1327,"C","Cropland","LC","Leon, Nicaragua",9.7,68,2,0.06,0.6,33.33,41,3.7,11.08,6.87,4.2,19.7,76.1
"437",437,57,"A1",-5.34,42.36,823,11.1,515,1327,"C","Cropland","LC","Leon, Nicaragua",151.6,1196,38.4,3.28,0.6,11.71,576,41,14.05,6.79,3.6,20.4,76.1
"438",438,57,"A1",-5.34,42.36,823,11.1,515,1327,"C","Cropland","LC","Leon, Nicaragua",51.1,404,14.1,1.02,0.6,13.82,86,12.6,6.83,6.5,3.6,20.4,76.1
"439",439,57,"A1",-5.34,42.36,823,11.1,515,1327,"C","Cropland","LC","Leon, Nicaragua",38.3,342,19.1,1.16,0.6,16.47,63,9.3,6.77,6.41,3.6,20.4,76.1
"440",440,57,"A1",-5.34,42.36,823,11.1,515,1327,"C","Cropland","LC","Leon, Nicaragua",47.8,420,13,0.99,0.6,13.13,98,10.9,8.99,6.45,3.6,20.4,76.1
"441",441,57,"A1",11.06,51.21,132,9.3,687,832,"D","Cropland","LC","Frankenhausen,Germany",55.4,710,11.7,1.31,0.5,8.93,291,46.9,6.2,7.47,17.9,79.3,2.8
"442",442,57,"A1",9.56,51.32,470,9.2,650,823,"D","Cropland","LC","Göttingen, Germany",115.3,931,18,1.86,0.6,9.68,336,36.8,9.13,7.57,24.7,69.4,5.9
"443",443,57,"A1",9.56,51.32,470,9.2,650,823,"D","Cropland","LC","Göttingen, Germany",122.6,1260,38.9,3.23,0.6,12.04,544,107.4,5.07,7.95,18.6,77.6,3.9
"444",444,57,"A1",9.56,51.32,470,9.2,650,823,"D","Cropland","LC","Göttingen, Germany",47.1,607,13.9,1.55,0.6,8.97,279,53.7,5.2,7.86,22.2,70.6,7.3
"445",445,57,"A1",9.56,51.32,470,9.2,650,823,"D","Cropland","LC","Göttingen, Germany",77.9,673,18.8,1.59,0.6,11.82,364,38.3,9.5,6.87,40.5,51,8.5
"446",446,57,"A1",72.29,33.54,414,12.1,665,1800,"B","Cropland","LC","Hazro, Pakistan",26.6,127,7.6,0.9,0.6,8.44,108,7.4,14.59,10.51,6.3,69.2,24.6
"447",447,57,"A1",72.4,32.05,173,12.1,665,1901,"B","Cropland","LC","Sargodha, Pakistan",14.9,45,5.5,0.41,0.8,13.41,96,13.9,6.91,9.67,12.4,64,23.6
"448",448,57,"A1",72.4,32.05,173,12.1,665,1901,"B","Cropland","LC","Sargodha, Pakistan",15,54,3.2,0.39,0.8,8.21,82,11.2,7.32,9.59,14.8,45.8,39.5
"449",449,57,"A1",72.4,32.05,173,12.1,665,1901,"B","Cropland","LC","Sargodha, Pakistan",17.3,102,3.8,0.4,0.8,9.5,108,15.1,7.15,9.24,10.5,44.1,45.4
"450",450,57,"A1",72.4,32.05,173,12.1,665,1901,"B","Cropland","LC","Sargodha, Pakistan",27.9,168,6.8,0.78,0.8,8.72,148,12.3,12.03,8.44,12.7,73.3,14
"451",451,57,"A1",72.4,32.05,173,12.1,665,1901,"B","Cropland","LC","Sargodha, Pakistan",13.3,48,5.5,0.45,0.8,12.22,76,9.8,7.76,8.08,16.3,73.8,10
"452",452,57,"A1",74.11,32.09,219,12.1,665,1786,"B","Cropland","LC","Gujranwala, Pakistan",5.5,25,1.9,0.23,0.6,8.26,59,4.3,13.72,9.91,13.2,31.7,55.1
"453",453,57,"A1",74.11,32.09,219,12.1,665,1786,"B","Cropland","LC","Gujranwala, Pakistan",21.9,149,4.5,0.38,0.6,11.84,104,7.4,14.05,8.69,15.4,45.7,38.9
"454",454,57,"A1",74.11,32.09,219,12.1,665,1786,"B","Cropland","LC","Gujranwala, Pakistan",9.3,111,4.3,0.41,0.6,10.49,97,12.1,8.02,8.45,6.4,11.2,82.4
"455",455,57,"A1",74.11,32.09,219,12.1,665,1786,"B","Cropland","LC","Gujranwala, Pakistan",12.1,96,2.6,0.37,0.6,7.03,81,10.1,8.02,8.87,8.4,25.2,66.4
"456",456,57,"A1",74.11,32.09,219,12.1,665,1786,"B","Cropland","LC","Gujranwala, Pakistan",30.1,174,6.8,0.71,0.6,9.58,227,17.2,13.2,8.93,18.1,37.7,44.2
"457",457,57,"A1",74.11,32.09,219,12.1,665,1786,"B","Cropland","LC","Gujranwala, Pakistan",18.7,147,6.6,0.58,0.6,11.38,107,14.5,7.38,9.1,14.5,57.1,28.4
"458",458,57,"A1",74.11,32.09,219,12.1,665,1786,"B","Cropland","LC","Gujranwala, Pakistan",9.5,82,4.6,0.44,0.6,10.45,104,10.5,9.9,9.21,15.6,54.3,30.1
"459",459,57,"A1",74.11,32.09,219,12.1,665,1786,"B","Cropland","LC","Gujranwala, Pakistan",11,93,3.7,0.4,0.6,9.25,124,13.3,9.32,9.33,12.2,62.2,25.7
"460",460,57,"A1",74.11,32.09,219,12.1,665,1786,"B","Cropland","LC","Gujranwala, Pakistan",21.9,162,5.4,0.55,0.6,9.82,116,18.5,6.27,8.24,10.1,64.7,25.2
"461",461,57,"A1",9.56,51.32,470,9.2,650,823,"D","Grassland","LC","Göttingen, Germany",27.2,485,11.8,0.95,0.6,12.42,234,44.7,5.23,4.78,9.4,26.8,63.8
"462",462,57,"A1",9.56,51.32,470,9.2,650,823,"D","Grassland","LC","Göttingen, Germany",128.2,1236,18.2,1.59,0.6,11.45,424,69.2,6.13,5.98,23.7,68.7,7.6
"463",463,57,"A1",10,50.53,581,6.7,690,819,"D","Grassland","LC","Heringen, Germany",62.1,878,45.4,3.58,0.6,12.68,1594,211.9,7.52,5.22,22.4,23.6,54
"464",464,57,"A1",9.51,51.2,278,9.2,810,809,"D","Grassland","LC","Witzenhausen, Germany",137.8,2274,54.8,4.56,0.6,12.02,899,167.1,5.38,4.89,18.5,61.3,20.2
"465",465,57,"A1",9.51,51.2,278,9.2,810,809,"D","Grassland","LC","Witzenhausen, Germany",106.3,1556,31.3,2.71,0.6,11.55,909,149.2,6.09,5.51,17.4,76.7,5.9
"466",466,57,"A1",11.44,50.51,600,9.2,810,752,"D","Grassland","LC","Dohrstadt, Germany",56.8,1082,34.9,2.68,0.6,13.02,336,50.1,6.71,7.77,20.4,69.5,10.1
"467",467,57,"A1",11.44,50.51,600,9.2,810,752,"D","Grassland","LC","Dohrstadt, Germany",67.6,1351,45.4,3.64,0.6,12.47,419,59.7,7.02,7.49,20.4,69.5,10.1
"468",468,57,"A1",11.44,50.51,600,9.2,810,752,"D","Grassland","LC","Dohrstadt, Germany",56.2,1078,35.5,3.16,0.6,11.23,397,58.7,6.76,7.53,20.4,69.5,10.1
"469",469,57,"A1",11.44,50.51,600,9.2,810,752,"D","Grassland","LC","Dohrstadt, Germany",61.6,1137,38.4,3.39,0.6,11.33,413,63.5,6.5,7.58,20.4,69.5,10.1
"470",470,57,"A1",11.44,50.51,600,9.2,810,752,"D","Grassland","LC","Dohrstadt, Germany",62.9,1153,33.6,2.99,0.6,11.24,2562,419.1,6.11,7.61,15.4,68.2,16.4
"471",471,57,"A1",8.28,53.3,13,10.1,674,753,"C","Grassland","LC","Nordenham, Germany",338.9,5774,106.8,9.71,0.5,11,2180,411.1,5.3,4.41,33.5,56.4,10.1
"472",472,57,"A1",8.28,53.3,13,10.1,674,753,"C","Grassland","LC","Nordenham, Germany",432.8,5564,92.6,8.67,0.5,10.68,4496,560.6,8.02,4.89,25.9,63,11.1
"473",473,57,"A1",8.28,53.3,13,10.1,674,753,"C","Grassland","LC","Nordenham, Germany",435.1,6199,121.7,11.05,0.5,11.01,1617,199.6,8.1,4.79,36.6,52.6,10.8
"474",474,57,"A1",8.28,53.3,13,10.1,674,753,"C","Grassland","LC","Nordenham, Germany",240.5,3050,55.9,5.11,0.5,10.94,887,50.75,17.48,5.45,31.9,51.1,17
"475",475,57,"A1",8.28,53.3,13,10.1,674,753,"C","Grassland","LC","Nordenham, Germany",119.8,1419,22.5,2.4,0.5,9.38,1631,196.9,8.28,5.1,19,44.9,36.1
"476",476,57,"A1",8.28,53.3,13,10.1,674,753,"C","Grassland","LC","Nordenham, Germany",81.4,967,44.9,4.59,0.5,9.78,918,168.1,5.46,5.28,24.9,52.4,22.7
"477",477,57,"A1",9.56,51.32,470,9.2,650,823,"D","Grassland","LC","Göttingen, Germany",75,1232,31.4,2.86,0.6,10.98,1327,257.8,5.15,7.48,18.7,67.1,14.1
"478",478,57,"A1",9.56,51.32,470,9.2,650,823,"D","Grassland","LC","Göttingen, Germany",130.6,1988,63.3,5.59,0.6,11.32,464,94.5,4.91,7.9,10.5,85.3,4.2
"479",479,57,"A1",9.56,51.32,470,9.2,650,823,"D","Grassland","LC","Göttingen, Germany",76,983,21.2,1.94,0.6,10.93,1245,230.7,5.4,7.93,20.7,71.6,7.7
"480",480,57,"A1",9.56,51.32,470,9.2,650,823,"D","Grassland","LC","Göttingen, Germany",211,2394,52.4,4.65,0.6,11.27,2562,419.1,6.11,7.51,31.4,62.7,5.9
"481",481,57,"A1",9.56,51.32,470,9.2,650,823,"D","Forest","LC","Göttingen, Germany",74.6,1350,58,2.37,0.6,24.47,515,76.2,6.76,3.88,6,38.7,55.3
"482",482,57,"A1",9.46,51.3,470,9.2,650,816,"D","Forest","LC","Dransfeld, Germany",32.8,705,27,1.1,0.6,24.55,215,39.8,5.4,4.02,7.7,17.4,74.9
"483",483,57,"A1",9.46,51.3,470,9.2,650,816,"D","Forest","LC","Dransfeld, Germany",34.3,840,48.3,1.89,0.6,25.56,405,76.1,5.32,3.92,12,28,60
"484",484,57,"A1",9.46,51.3,470,9.2,650,816,"D","Forest","LC","Dransfeld, Germany",49.8,910,59.9,4.25,0.6,14.09,611,106.3,5.75,3.93,15.2,77.3,7.5
"485",485,57,"A1",9.46,51.3,470,9.2,650,816,"D","Forest","LC","Dransfeld, Germany",27.7,1480,41.6,1.78,0.6,23.37,456,74.1,6.15,3.9,4.4,11.8,83.9
"486",486,57,"A1",9.56,51.32,470,9.2,650,823,"D","Forest","LC","Göttingen, Germany",25.4,1469,35.3,0.95,0.6,37.16,187,27,6.93,3.79,4,5.4,90.6
"487",487,57,"A1",9.51,51.2,278,9.2,810,809,"D","Forest","LC","Witzenhausen, Germany",121.4,1895,128.3,5.19,0.6,24.72,957,101.5,9.43,3.51,17.1,78.5,4.4
"488",488,57,"A1",9.56,51.32,470,9.2,650,823,"D","Forest","LC","Göttingen, Germany",24.4,581,19.8,0.98,0.6,20.2,208,39.7,5.24,4.74,14.9,69.8,15.4
"489",489,57,"A1",9.56,51.32,470,9.2,650,823,"D","Forest","LC","Göttingen, Germany",136.2,2471,90.8,5.29,0.6,17.16,1327,259.6,5.11,7.72,13.5,79.5,7
"490",490,57,"A1",9.56,51.32,470,9.2,650,823,"D","Forest","LC","Göttingen, Germany",145.8,2184,145.9,7.34,0.6,19.88,2333,447.3,5.22,7.12,19.9,74.3,5.8
"491",491,57,"A1",9.56,51.32,470,9.2,650,823,"D","Forest","LC","Göttingen, Germany",58.1,1528,46.4,2.49,0.6,18.63,486,69.2,7.02,5.9,14.6,36.8,48.6
"492",492,57,"A1",9.56,51.32,470,9.2,650,823,"D","Forest","LC","Göttingen, Germany",34.4,1204,27,1.66,0.6,16.27,246,37.5,6.56,6.54,10.9,76.3,12.8
"493",493,57,"A1",9.56,51.32,470,9.2,650,823,"D","Forest","LC","Göttingen, Germany",44.3,1134,51.9,2.48,0.6,20.93,384,60.8,6.32,4.55,9.9,80.2,9.9
"494",494,58,"A1",11.45,48.5,487,7.4,803,838,"D","Cropland","GC","Scheyern Research Farm, Munich, Germany",50,697,13.2,1.47,0.5,8.98,281,34,8.26,5.9,60,25,15
"495",495,58,"A1",11.45,48.5,487,7.4,803,838,"D","Cropland","GC","Scheyern Research Farm, Munich, Germany",60,816,12.7,1.57,0.5,8.09,346,47,7.36,5.9,60,25,15
"496",496,58,"A1",11.45,48.5,487,7.4,803,838,"D","Cropland","GC","Scheyern Research Farm, Munich, Germany",48,671,11.9,1.37,0.5,8.69,257,26,9.88,5.9,27,50,23
"497",497,58,"A1",11.45,48.5,487,7.4,803,838,"D","Cropland","GC","Scheyern Research Farm, Munich, Germany",63,841,14,1.67,0.5,8.38,370,55,6.73,5.9,27,54,19
"498",498,59,"A1",112.17,23.17,265,21.6,1773,1359,"C","Forest","GC","Dinghushan Biosphere Reserve, Guangdong Province,  Chi",119.6,1372.18,37.77,2.54,0.3,14.87,182.04,64.2,2.84,3.91,37.8,33,29.3
"499",499,60,"A1",128.08,42.38,802,2.8,700,919,"D","Forest","GC","CBMNR",93.48,2556.67,59.93,3.47,0.7,17.29,243.31,47.02,5.17,5.5,53,25,22
"500",500,60,"A1",128.08,42.38,802,2.8,700,919,"D","Forest","GC","CBMNR",98.22,2600.37,55.27,3.67,0.7,15.07,243.31,47.02,5.17,5.5,53,25,22
"501",501,60,"A1",128.08,42.38,802,2.8,700,919,"D","Forest","GC","CBMNR",70,2012.59,47.77,3.2,0.7,14.93,243.31,47.02,5.17,5.5,53,25,22
"502",502,60,"A1",128.08,42.38,802,2.8,700,919,"D","Forest","GC","CBMNR",87.04,1918.52,41.47,2.97,0.7,13.98,243.31,47.02,5.17,5.5,53,25,22
"503",503,60,"A1",128.08,42.38,802,2.8,700,919,"D","Forest","GC","CBMNR",65.78,1931.11,37.67,2.73,0.7,13.78,243.31,47.02,5.17,5.5,53,25,22
"504",504,61,"A1",-119.57,37.72,1920,9.1,115,1680,"C","Forest","GC","Sierra Nevada, California",79.29,563.64,70,2.92,0.4,24,341.39,44.31,7.7,6.2,17,71,26.8
"505",505,61,"A1",-119.57,37.72,1920,9.1,115,1680,"C","Forest","GC","Sierra Nevada, California",76.07,345.45,28.06,1.4,0.4,20,341.39,44.31,7.7,6.5,17,71,6.3
"506",506,61,"A1",-119.57,37.72,1920,6.7,135,1680,"C","Forest","GC","Sierra Nevada, California",39.11,550,41.87,2.09,0.4,20,341.39,44.31,7.7,5.8,17,71,6.7
"507",507,61,"A1",-119.57,37.72,1920,6.7,135,1680,"C","Forest","GC","Sierra Nevada, California",57.86,822.73,52.66,2.19,0.4,24,341.39,44.31,7.7,5.4,17,71,14
"508",508,61,"A1",-119.57,37.72,1920,6.7,135,1680,"C","Forest","GC","Sierra Nevada, California",59.46,413.64,36.26,1.58,0.4,23,341.39,44.31,7.7,6,17,71,7.7
"509",509,61,"A1",-119.57,37.72,1920,6.7,135,1680,"C","Forest","GC","Sierra Nevada, California",38.57,377.27,25.04,0.83,0.4,30,341.39,44.31,7.7,5.5,17,71,8.7
"510",510,61,"A1",-119.57,37.72,1920,6.7,135,1680,"C","Forest","GC","Sierra Nevada, California",102.86,1136.36,120.43,4.15,0.4,29,341.39,44.31,7.7,6,17,71,25.4
"511",511,61,"A1",-119.57,37.72,1920,6.7,135,1680,"C","Forest","GC","Sierra Nevada, California",107.14,1204.55,90.22,3.61,0.4,25,341.39,44.31,7.7,5.8,17,71,9.4
"512",512,61,"A1",-119.57,37.72,1920,6.7,135,1680,"C","Forest","GC","Sierra Nevada, California",56.79,731.82,67.34,2.24,0.4,30,341.39,44.31,7.7,5.5,17,71,7.7
"513",513,62,"A1",112.91,23.18,4,21,1956,1299,"C","Forest","GC","Dinghushan Biosphere Reserve",60.24,698.64,21.6,1.4,0.6,15.43,224.12,66.63,3.36,5.5,37,46,17
"514",514,62,"A1",112.88,23.18,5,21,1956,1299,"C","Forest","GC","Dinghushan Biosphere Reserve",120.66,1119.16,25,1.8,0.6,13.89,224.12,66.63,3.36,5.5,37,46,17
"515",515,62,"A1",112.88,23.18,5,21,1956,1299,"C","Forest","GC","Dinghushan Biosphere Reserve",216.52,1458.29,39.1,3,0.6,13.03,224.12,66.63,3.36,5.5,37,46,17
"516",516,62,"A1",112.91,23.18,4,21,1956,1299,"C","Forest","GC","Dinghushan Biosphere Reserve",33.66,268.41,7.4,0.8,0.6,9.25,224.12,66.63,3.36,5.5,37,46,17
"517",517,62,"A1",112.88,23.18,5,21,1956,1299,"C","Forest","GC","Dinghushan Biosphere Reserve",86.21,485.42,10,0.9,0.6,11.11,224.12,66.63,3.36,5.5,37,46,17
"518",518,62,"A1",112.88,23.18,5,21,1956,1299,"C","Forest","GC","Dinghushan Biosphere Reserve",164.35,679.23,15.2,1.5,0.6,10.13,224.12,66.63,3.36,5.5,37,46,17
"519",519,62,"A1",112.91,23.18,4,21,1956,1299,"C","Forest","GC","Dinghushan Biosphere Reserve",24.8,192.83,5.8,0.7,0.6,8.29,224.12,66.63,3.36,5.5,37,46,17
"520",520,62,"A1",112.88,23.18,5,21,1956,1299,"C","Forest","GC","Dinghushan Biosphere Reserve",38.97,223.83,6.1,0.7,0.6,8.71,224.12,66.63,3.36,5.5,37,46,17
"521",521,62,"A1",112.88,23.18,5,21,1956,1299,"C","Forest","GC","Dinghushan Biosphere Reserve",127.94,469.93,13.3,1.3,0.6,10.23,224.12,66.63,3.36,5.5,37,46,17
"522",522,63,"A1",11.83,51.37,123,8.8,480,867,"C","Cropland","LC","Bad Lauchstädt (SFEBL), Sachsen-Anhalt, Germany",15.91,234.07,26,2.1,0.5,12.38,227.08,69.54,3.27,6.38,11.2,67.8,21
"523",523,63,"A1",11.83,51.37,123,8.8,480,867,"C","Cropland","LC","Bad Lauchstädt (SFEBL), Sachsen-Anhalt, Germany",33.71,228.15,25.4,2.2,0.5,11.55,227.08,69.54,3.27,6.04,11.2,67.8,21
"524",524,63,"A1",11.83,51.37,123,8.8,480,867,"C","Cropland","LC","Bad Lauchstädt (SFEBL), Sachsen-Anhalt, Germany",23.86,151.11,24.9,2.1,0.5,11.86,227.08,69.54,3.27,5.62,11.2,67.8,21
"525",525,63,"A1",11.83,51.37,123,8.8,480,867,"C","Cropland","LC","Bad Lauchstädt (SFEBL), Sachsen-Anhalt, Germany",38.26,165.93,21.5,1.8,0.5,11.94,227.08,69.54,3.27,5.92,11.2,67.8,21
"526",526,63,"A1",11.83,51.37,123,8.8,480,867,"C","Cropland","LC","Bad Lauchstädt (SFEBL), Sachsen-Anhalt, Germany",29.92,219.26,19.3,1.6,0.5,12.06,227.08,69.54,3.27,5.08,11.2,67.8,21
"527",527,63,"A1",11.83,51.37,123,8.8,480,867,"C","Cropland","LC","Bad Lauchstädt (SFEBL), Sachsen-Anhalt, Germany",18.56,198.52,16.1,1.3,0.5,12.38,227.08,69.54,3.27,5.26,11.2,67.8,21
"528",528,63,"A1",11.83,51.37,123,8.8,480,867,"C","Cropland","LC","Bad Lauchstädt (SFEBL), Sachsen-Anhalt, Germany",49.45,536.3,24.8,2.4,0.5,10.33,227.08,69.54,3.27,6.54,11.2,67.8,21
"529",529,63,"A1",11.83,51.37,123,8.8,480,867,"C","Cropland","LC","Bad Lauchstädt (SFEBL), Sachsen-Anhalt, Germany",53.14,503.7,23.1,2.3,0.5,10.04,227.08,69.54,3.27,6.7,11.2,67.8,21
"530",530,63,"A1",11.83,51.37,123,8.8,480,867,"C","Cropland","LC","Bad Lauchstädt (SFEBL), Sachsen-Anhalt, Germany",43.54,322.96,23,2.3,0.5,10,227.08,69.54,3.27,6.15,11.2,67.8,21
"531",531,63,"A1",11.83,51.37,123,8.8,480,867,"C","Cropland","LC","Bad Lauchstädt (SFEBL), Sachsen-Anhalt, Germany",38.38,334.81,19.6,1.9,0.5,10.32,227.08,69.54,3.27,6.85,11.2,67.8,21
"532",532,63,"A1",11.83,51.37,123,8.8,480,867,"C","Cropland","LC","Bad Lauchstädt (SFEBL), Sachsen-Anhalt, Germany",33.95,482.96,18.5,1.7,0.5,10.88,227.08,69.54,3.27,6.44,11.2,67.8,21
